No,ペルソナ,カテゴリ
1,私はチアリーダーをやっていました。,スポーツ
2,私は陸上部に入っています。,スポーツ
3,私はバレーボール部の主将を務めていました。,スポーツ
4,私は演劇部に入っていました。,スポーツ
5,私は漫研に入っていました。,スポーツ
6,私は運動部出身です。,スポーツ
7,私は柔道部に入っていました。,スポーツ
8,私は卓球部に入っていました。,スポーツ
9,私はバスケットボール部に入っていました。,スポーツ
10,私は剣道部に入っていました。,スポーツ
11,私は野球部に入っていました。,スポーツ
12,私は美術部に入っていました。,スポーツ
13,私は吹奏楽部に入っています。,スポーツ
14,私は応援団に入っていました。,スポーツ
15,私は運動全般が苦手です。,スポーツ
16,私はジムのプールに通っています。,スポーツ
17,私はプールの塩素の匂いを懐かしく感じます。,スポーツ
18,私はサーフィンが得意です。,スポーツ
19,私はダンスが得意です。,スポーツ
20,私はゴルフが得意です。,スポーツ
21,私はツーリングが好きです。,スポーツ
22,私はサイクリングが好きです。,スポーツ
23,私は水泳が得意です。,スポーツ
24,私は無神論者です。,その他
25,私は電車通勤しています。,その他
26,私には友だちがたくさんいます。,その他
27,私は関西弁です。,その他
28,私は安月給です。,その他
29,私はいずれ上京するつもりです。,その他
30,私はいつも寝不足です。,その他
31,私は石焼き芋の歌を懐かしく感じます。,その他
32,私は数字に強いです。,その他
33,私は夕暮れを懐かしく感じます。,その他
34,私は本屋の匂いを懐かしく感じます。,その他
35,私は不規則な生活をしています。,その他
36,私は天日干しした布団の匂いを懐かしく感じます。,その他
37,私は海の匂いを懐かしく感じます。,その他
38,私は子どもの遊び声を懐かしく感じます。,その他
39,私はお線香やマッチの匂いを懐かしく感じます。,その他
40,私は山梨の方言が好きです。,その他
41,私のお気に入りスポットは、鳥取砂丘です。,その他
42,私はハムスターを飼っていました。,ペット
43,私はカメを飼っています。,ペット
44,私は鳥を飼っています。,ペット
45,私のペットはウサギです。,ペット
46,私は犬を飼っています。,ペット
47,私は猫を飼っています。,ペット
48,私は熱帯魚を飼っています。,ペット
49,私の家は、母一人子一人です。,家族
50,私は一人っ子です。,家族
51,私には双子の兄弟がいます。,家族
52,私は兄弟と暮らしています。,家族
53,私は子沢山の家庭で育ちました。,家族
54,私は2人の子持ちです。,家族
55,私は夫と死別しました。,家族
56,私は既婚です。,家族
57,私は妻と熟年離婚しました。,家族
58,私には歳の離れた姉がいます。,家族
59,私は独身です。,家族
60,私には離婚歴があります。,家族
61,私には妹がいます。,家族
62,私は一家の大黒柱です。,家族
63,私は両親と暮らしています。,家族
64,私には兄がいます。,家族
65,私には弟がいます。,家族
66,私たち夫婦はDINKsです。,家族
67,私は独身貴族です。,家族
68,私は姉と暮らしています。,家族
69,私はパートナーと二人暮らしです。,家族
70,私は転勤族の家庭で育ちました。,家族
71,私は長男です。,家族
72,私はシングルファーザーです。,家族
73,私には子どもが1人います。,家族
74,私は大学院卒です。,学歴
75,私は大卒です。,学歴
76,私は高校中退しています。,学歴
77,私は大学を中退しました。,学歴
78,私は高卒です。,学歴
79,私は千葉の学校に通っています。,学歴
80,私は以前、高知の大学に通っていました。,学歴
81,私はキャンプに興味があります。,興味
82,私はネットオークションに興味があります。,興味
83,私はいつか世界中を飛び回りたいです。,興味
84,私は占いに興味があります。,興味
85,私は早起きが苦手です。,苦手
86,私は暗い場所が苦手です。,苦手
87,私は暑さが苦手です。,苦手
88,私は雷が苦手です。,苦手
89,私は注射が苦手です。,苦手
90,私は寒いのが苦手です。,苦手
91,私は狭い場所が苦手です。,苦手
92,私はホラー映画が苦手です。,苦手
93,私はタバコの匂いが苦手です。,苦手
94,私は香水の匂いが苦手です。,苦手
95,私は虫が苦手です。,苦手
96,私は女性が苦手です。,苦手
97,私は地図が読めないです。,苦手
98,私は歯医者が怖いです。,苦手
99,私は高所恐怖症です。,苦手
100,私は記憶力に自信がありません。,苦手
101,私は勉強が不得意です。,苦手
102,私は車の運転が下手です。,苦手
103,私は閉所恐怖症です。,苦手
104,私は機械に弱いです。,苦手
105,私は血液型が不明です。,血液型
106,私の血液型はO型です。,血液型
107,私の血液型はA型です。,血液型
108,私は運動が好きです。,趣味
109,私はアニメオタクです。,趣味
110,私はドライブが好きです。,趣味
111,私は古本屋が好きです。,趣味
112,私の趣味は映画鑑賞です。,趣味
113,私はスポーツ観戦が趣味です。,趣味
114,私の趣味はプラモデルです。,趣味
115,私はボルダリングが好きです。,趣味
116,私はネットショッピングが好きです。,趣味
117,私は温泉が好きです。,趣味
118,私は漫画を読むのが好きです。,趣味
119,私は貯金が趣味です。,趣味
120,私の趣味はネットサーフィンです。,趣味
121,私の趣味は音楽鑑賞です。,趣味
122,私の趣味はヨガです。,趣味
123,私の趣味はゲームです。,趣味
124,私はテニスが好きです。,趣味
125,私は乗馬が好きです。,趣味
126,私の趣味はアウトドアレジャーです。,趣味
127,私の趣味は読書です。,趣味
128,私は海外旅行をよくします。,趣味
129,私はアニメの聖地巡礼をよくします。,趣味
130,私は国内旅行をよくします。,趣味
131,私はお取り寄せが好きです。,趣味
132,私は食べ歩きが好きです。,趣味
133,私の趣味はガーデニングです。,趣味
134,私の趣味は手芸です。,趣味
135,私の趣味は筋トレです。,趣味
136,私は絵を書くのが好きです。,趣味
137,私はジョギングが趣味です。,趣味
138,私の趣味は写真撮影です。,趣味
139,私の趣味は外国語の勉強です。,趣味
140,私は釣りが趣味です。,趣味
141,私の趣味はカラオケです。,趣味
142,私の趣味は将棋です。,趣味
143,私の趣味はDIYです。,趣味
144,私は散歩が趣味です。,趣味
145,私は英会話スクールに通っています。,趣味
146,私はオセロが得意です。,趣味
147,私は暗記が得意です。,趣味
148,私は雪かきが得意です。,趣味
149,私は以前、沖縄に住んでいたことがあります。,住所
150,私は富山県に嫁いできました。,住所
151,私は岐阜に引っ越してきて間もないです。,住所
152,私は三重県の県庁所在地に住んでいます。,住所
153,私は徳島に移住してきました。,住所
154,私は大阪在住です。,住所
155,私は有明湾の近くに住んでいました。,住所
156,私は福島から引っ越してきました。,住所
157,私は島根県在住です。,住所
158,私は田舎に住んでいます。,住所
159,私は京都在住です。,住所
160,私は長い間、長崎に住んでいます。,住所
161,私は鹿児島から引っ越してきました。,住所
162,私は以前、宮崎に住んでいたことがあります。,住所
163,私は北陸に住んでいます。,住所
164,私は関東に住んでいます。,住所
165,私は奈良在住です。,住所
166,私の住む県は、近畿地方にあります。,住所
167,私は四国に住んでいます。,住所
168,私は九州に住んでいます。,住所
169,私は日本中を転々としています。,住所
170,私は東日本に住んでいます。,住所
171,私の住まいは、川のそばにあります。,住所
172,私は広島在住です。,住所
173,私の家は、スーパーの近くにあります。,住所
174,私の家は、コンビニのすぐそばです。,住所
175,私はマンションに住んでいます。,住所
176,私は公園のそばに住んでいます。,住所
177,私はいつか、平屋に住んでみたいです。,住所
178,私は繁華街に住んでいます。,住所
179,私は東京に住んでみたいです。,住所
180,私は山のそばに住んでいます。,住所
181,私は海のそばに住んでいます。,住所
182,私は学校のそばに住んでいます。,住所
183,私は実家暮らしです。,住所
184,私は神戸市に住んでいます。,住所
185,私は東北地方に住んでいます。,住所
186,私は団地暮らしです。,住所
187,私はアパート暮らしです。,住所
188,私は寮暮らしです。,住所
189,私は一軒家に住んでいます。,住所
190,私はルームシェアをしています。,住所
191,私はいつか、庭付きの家に住んでみたいです。,住所
192,私は西日本に住んでいます。,住所
193,私は外国暮らしに憧れています。,住所
194,私は一人暮らしです。,住所
195,私は愛媛から転校してきました。,住所
196,私は熊本県が好きです。,住所
197,私は北海道で生まれました。,出身
198,私は青森で生まれました。,出身
199,私は外国生まれです。,出身
200,私は秋田で生まれました。,出身
201,私は新潟から出たことがありません。,出身
202,私は岩手県で生まれました。,出身
203,私は山形で生まれました。,出身
204,私は茨城で生まれました。,出身
205,私は栃木に実家があります。,出身
206,私の実家は群馬です。,出身
207,私は埼玉出身で東京に暮らしています。,出身
208,私は横浜出身です。,出身
209,私は長野で生まれ育ちました。,出身
210,私の故郷は静岡です。,出身
211,私は生まれも育ちも兵庫です。,出身
212,私の出身は和歌山です。,出身
213,私は愛知で育ちました。,出身
214,私が育ったのは、寒い地域です。,出身
215,私は暑い地域で生まれ育ちました。,出身
216,私は一年中、温暖な地域で育ちました。,出身
217,私は高地で育ちました。,出身
218,私は離島の生まれです。,出身
219,私は宮城で生まれました。,出身
220,私の出身地は、牛タンで有名なところです。,出身
221,私は海沿いの街で育ちました。,出身
222,私は産休中です。,職業
223,私は定年退職しました。,職業
224,私は石川県に転勤してきました。,職業
225,私は滋賀県で開業しました。,職業
226,私は無職です。,職業
227,私はブライダル関係の会社に勤務しています。,職業
228,私は医療関係で働いています。,職業
229,私は大手電機メーカーに勤務しています。,職業
230,私はレストランで働いています。,職業
231,私は家政婦です。,職業
232,私は自営業です。,職業
233,私は小学生です。,職業
234,私は高校生です。,職業
235,私はキャビンアテンダントです。,職業
236,私はパートタイマーです。,職業
237,私はドラッグストアの店員です。,職業
238,私はソーシャルワーカーです。,職業
239,私は医師です。,職業
240,私はマッサージ師です。,職業
241,私は獣医師です。,職業
242,私はセラピストです。,職業
243,私は中学生です。,職業
244,私は大学生です。,職業
245,私は大学院生です。,職業
246,私はフリーターです。,職業
247,私は派遣社員です。,職業
248,私は専業主婦です。,職業
249,私は兼業主婦です。,職業
250,私は早期退職しました。,職業
251,私は現在、休職中です。,職業
252,私は証券マンです。,職業
253,私は商社マンです。,職業
254,私は保険外交員です。,職業
255,私はIT系企業で働いています。,職業
256,私は旅行代理店勤務です。,職業
257,私は空港会社に勤務しています。,職業
258,私は有名な化粧品メーカーで働いています。,職業
259,私は新聞社勤めです。,職業
260,私はテレビ業界で働いています。,職業
261,私は先日、ゲーム制作会社に就職しました。,職業
262,私は新聞配達員です。,職業
263,私は郵便局員です。,職業
264,私の仕事は経理です。,職業
265,私はタクシー運転手です。,職業
266,私はバスの運転手です。,職業
267,私はパティシエです。,職業
268,私は見習いシェフです。,職業
269,私は自動車整備士です。,職業
270,私は警察官です。,職業
271,私は消防士になりたいです。,職業
272,私は警備員です。,職業
273,私は僧侶です。,職業
274,私は探偵です。,職業
275,私は整体師です。,職業
276,私は占い師になりたいです。,職業
277,私はネイリストになりたいです。,職業
278,私はコンビニの店員です。,職業
279,私はスーパーで働いています。,職業
280,私は楽器メーカーに勤務しています。,職業
281,私は看護師になりたいです。,職業
282,私は救急救命士です。,職業
283,私は銀行員です。,職業
284,私はホームヘルパーです。,職業
285,私は薬剤師です。,職業
286,私は美容師になりたかったです。,職業
287,私は心理カウンセラーです。,職業
288,私はキャリアコンサルタントです。,職業
289,私は翻訳家です。,職業
290,私は通訳です。,職業
291,私は農家です。,職業
292,私は肉体労働者です。,職業
293,私は会社員です。,職業
294,私は鉄道マンです。,職業
295,私は外資系企業に勤めています。,職業
296,私は海上保安官です。,職業
297,私はメイクアップアーティストになりたいです。,職業
298,私は自衛隊員です。,職業
299,私はスタイリストです。,職業
300,私は介護福祉士です。,職業
301,私は広告代理店勤務です。,職業
302,私は教師です。,職業
303,私はエステティシャンです。,職業
304,私は助産師です。,職業
305,私は事務職に就いています。,職業
306,私は株取引をやっています。,職業
307,私はフリーランスで働いています。,職業
308,私はアパレル系で働いています。,職業
309,私はお金持ちになるのが夢です。,職業
310,私の夢はファッションデザイナーです。,職業
311,私は今の会社に新卒で入社しました。,職業
312,私はフレックスタイム制の会社で働いています。,職業
313,私は転職したことが一度もないです。,職業
314,私は転職経験が豊富です。,職業
315,私は中途採用の社員です。,職業
316,私は名古屋めしを愛してやみません。,食べ物
317,私はうどんが好きです。,食べ物
318,私はラーメンが好きです。,食べ物
319,私はウナギが大好物です。,食べ物
320,私にとって、ステーキはご馳走です。,食べ物
321,私にとって、おふくろの味はカツ丼です。,食べ物
322,私はコンビニスイーツに目がありません。,食べ物
323,私はくさやを食べたことがありません。,食べ物
324,私は麻婆豆腐が好きです。,食べ物
325,私は偏食が激しいです。,食べ物
326,私は納豆が嫌いです。,食べ物
327,私は牡蠣が嫌いです。,食べ物
328,私はニンジンが嫌いです。,食べ物
329,私は苦いものが苦手です。,食べ物
330,私はお酒が苦手です。,食べ物
331,私の好物は寿司です。,食べ物
332,私のソウルフードは、お好み焼きです。,食べ物
333,私はしょうが焼きが好きです。,食べ物
334,私は辛いものが好きです。,食べ物
335,私はウニが好きです。,食べ物
336,私はグリーンピースが嫌いです。,食べ物
337,私はハヤシライスが好きです。,食べ物
338,私がよく飲むのは緑茶です。,食べ物
339,私はレバーが嫌いです。,食べ物
340,私はセロリが嫌いです。,食べ物
341,私は焼肉が大好物です。,食べ物
342,私は甘いものが苦手です。,食べ物
343,私は酸っぱいものが苦手です。,食べ物
344,私はピーマンが嫌いです。,食べ物
345,私は猫舌で熱いものが苦手です。,食べ物
346,私は、聞き上手と人からよく言われます。,性格
347,私は人と争うのが苦手です。,性格
348,私は断ることが苦手です。,性格
349,私は、マイペースと人からよく言われます。,性格
350,私は、センスが良いと人からよく言われます。,性格
351,私は方向音痴です。,性格
352,私は、夢見がちと人からよく言われます。,性格
353,私のことを大らかと言う人が多いです。,性格
354,私は涙もろいです。,性格
355,私は、のんびりした性格と人によく言われます。,性格
356,私には向上心があります。,性格
357,私はネガティブに考えがちです。,性格
358,私は怒りっぽいです。,性格
359,私は優柔不断です。,性格
360,私は人付き合いが苦手です。,性格
361,私は人の目を見て話すことが苦手です。,性格
362,私は負けず嫌いです。,性格
363,私は熱中しやすいほうです。,性格
364,私は集中力があります。,性格
365,私は人と話すのが好きです。,性格
366,私は明るさが取り柄です。,性格
367,私は片付けが苦手です。,性格
368,私は責任感が強いです。,性格
369,私は人が多い場所が苦手です。,性格
370,私はじっとしていることが苦手です。,性格
371,私は目立つことが苦手です。,性格
372,私は初対面の人が苦手です。,性格
373,私は空気を読むことが苦手です。,性格
374,私は気遣いが苦手です。,性格
375,私は浪費家です。,性格
376,私は社交的です。,性格
377,私は努力家です。,性格
378,私は気分屋です。,性格
379,私は八方美人です。,性格
380,私は自分が大好きです。,性格
381,私は鈍感です。,性格
382,私は仕切りたがりです。,性格
383,私は我慢強いです。,性格
384,私は頑固です。,性格
385,私は自意識過剰なほうです。,性格
386,私は人を喜ばせるのが好きです。,性格
387,私は流行に敏感です。,性格
388,私は弱虫な自分が嫌いです。,性格
389,私は、地獄耳と人からよく言われます。,性格
390,私は占いを信じるほうです。,性格
391,私は手先が器用です。,性格
392,私は遅刻魔です。,性格
393,私は人の悪口が苦手です。,性格
394,私は早寝早起きがモットーです。,性格
395,私はインドア派です。,性格
396,私は声が大きいです。,性格
397,私はおばあちゃん子です。,性格
398,私は男性です。,性別
399,私は女性です。,性別
400,私は12月生まれです。,生年月日
401,私は乙女座です。,生年月日
402,私の誕生日は11月22日、いい夫婦の日です。,生年月日
403,私はへび年生まれです。,生年月日
404,私は平成生まれです。,生年月日
405,私は2000年生まれです。,生年月日
406,私は4月生まれです。,生年月日
407,私が生まれたのは冬です。,生年月日
408,私の誕生日は、大みそかです。,生年月日
409,私は秋に生まれました。,生年月日
410,私は夏生まれです。,生年月日
411,私の誕生日は、バレンタインデーです。,生年月日
412,私は早生まれです。,生年月日
413,私の誕生日は、七夕です。,生年月日
414,私の誕生日は、クリスマスイブです。,生年月日
415,私は2月生まれです。,生年月日
416,私の誕生日は、エイプリルフールです。,生年月日
417,私は昭和生まれです。,生年月日
418,私の誕生日は、正月です。,生年月日
419,私は70年代の生まれです。,生年月日
420,私の誕生日は、ひな祭りの日です。,生年月日
421,私には尊敬する先輩がいます。,尊敬
422,私が尊敬する人は、松下幸之助です。,尊敬
423,私が尊敬する人は、エジソンです。,尊敬
424,私が尊敬する人は、画家のゴッホです。,尊敬
425,私が尊敬する人は、母親です。,尊敬
426,私が尊敬する人は、坂本龍馬です。,尊敬
427,私は父を尊敬しています。,尊敬
428,私が尊敬する人は、ビル・ゲイツです。,尊敬
429,私が尊敬する人は、ナイチンゲールです。,尊敬
430,私はスティーブ・ジョブズに憧れています。,尊敬
431,私には憧れの芸能人がいます。,尊敬
432,私が好きな作家は、宮沢賢治です。,尊敬
433,私は晴れている日が好きです。,天気
434,私は雨の日が好きです。,天気
435,私は雪が好きです。,天気
436,私は30代です。,年齢
437,私は20代前半です。,年齢
438,私は10代です。,年齢
439,私は顔立ちが幼いです。,容姿
440,私はお尻が大きいです。,容姿
441,私は髪の毛が薄いです。,容姿
442,私は髪の毛を染めています。,容姿
443,私はえくぼがトレードマークです。,容姿
444,私は歯並びが悪いです。,容姿
445,私は、なで肩がコンプレックスです。,容姿
446,私は純和風の顔立ちです。,容姿
447,私は虫歯が1本もないです。,容姿
448,私は太めの体型です。,容姿
449,私は足が長いです。,容姿
450,私は細身の体型です。,容姿
451,私は肥満体型です。,容姿
452,私はスタイルが良いです。,容姿
453,私は骨ばった体型です。,容姿
454,私はグラマーな体型です。,容姿
455,私は指が長いです。,容姿
456,私は手が小さいです。,容姿
457,私は髪の毛が長いです。,容姿
458,私は髪の毛が短いです。,容姿
459,私は髪の毛が多いです。,容姿
460,私の頭は白髪が目立ちます。,容姿
461,私の髪の毛はストレートです。,容姿
462,私はパーマをかけています。,容姿
463,私の髪の毛は、くせ毛です。,容姿
464,私は切れ長の目が自慢です。,容姿
465,私は鼻が低いです。,容姿
466,私は、唇がセクシーだと人からよく言われます。,容姿
467,私は福耳です。,容姿
468,私は口が大きいです。,容姿
469,私は虫歯があります。,容姿
470,私は肩幅が広いです。,容姿
471,私は猫背です。,容姿
472,私は肌の色が濃いです。,容姿
473,私は彫りの深い顔立ちです。,容姿
474,私は足が短いです。,容姿
475,私は身長が低いです。,容姿
476,私は筋肉質です。,容姿
477,私は胸板が厚いです。,容姿
478,私は身長が高いほうです。,容姿
479,私はウエストが細いです。,容姿
480,私は黒髪です。,容姿
481,私は姿勢が悪いです。,容姿
482,私は茶髪です。,容姿
483,私は目鼻立ちがハッキリしています。,容姿
484,私は歯並びが良いです。,容姿
485,私は肌の色が白いです。,容姿
486,私は姿勢が良いです。,容姿
487,私は体が柔らかいです。,容姿
488,私は料理が好きです。,料理
489,私の得意料理はたこ焼きです。,料理
490,私は餃子作りが得意です。,料理
491,私は炒飯を作るのが得意です。,料理
492,私は焼きそばを作るのが得意です。,料理
493,私はカレーライスを作るのが得意です。,料理
494,私は、朝にお弁当を作るのが日課です。,料理
495,私は料理が苦手です。,料理
496,私は福岡の彼女と遠距離恋愛中です。,恋愛
497,私は彼女募集中です。,恋愛
498,私は彼氏いない歴が長いです。,恋愛
499,私には好きな人がいます。,恋愛
500,私は年上の人に好かれます。,恋愛